proferre,profero,protuli        :(hervor)holen, zur Sprache bringen
paulo ante                      :kurz vorher
patres conscripti               :die Senatoren
otiosus,otiosa,otiosum          :müßig, untätig, unbeschäftigt
hospes,hospitis                 :der Fremde, der Gast, der Gastgeber
invitare,invito                 :einladen
domi                            :zu Hause, daheim (wo?)
ludere,ludo,lusi                :spielen
libet,libuit                    :es gefällt; es beliebt
simul                           :sobald
canere,cano,cecini              :singen, (ver)künden
antecedere,antecedo,antecessi   :jdn. übertreffen, überlegen sein
quire,queo,quivi(quii)          :können
hoc vix dicere queo.            :Dies kann ich kaum sagen.
hoc facere non queunt.             :Sie können dies nicht machen. 
dimicare,dimico                 :kämpfen
vastus,vasta,vastum             :riesig; öde, verwüstet
rapidus,rapida,rapidum          :reißend, wild
